Data,BG000,GM000,GM001,PN000,PS001,PS000,BD000,BD002,BD003,BD005,BD007,BD009,BD010,JT000,PP010,GV001,GV002,VD000,LB000,LB001,LB003,IP003,IP010,IP006,AR000,PD000,CP100,CP004,CP005,CP008,LM002,VR000,UR000,BT000,BT001,FL000,FL004
2006-01-12,800,23,,23,3000,30,80,80,130,230,130,130,30,,2400,5000,,3000,500,,5000,23,50,130,50,130,23,80,50,80,23,800,300,500000,,,500
2006-01-16,2400,3000,,230,50,30,30,23,50,80,130,30,30,,300,300,,130,3000,,30,30,50,50,23,80,300,80,500,80,230,30,3000,1600000,,,3000
2006-01-18,30,30,,23,23,500,50,230,300,230,230,50,230,,130,130,,80,3000,,2400,30,80,80,130,50,800,500,500,300,800,50,3000,900000,,,5000
2006-01-23,130,23,,23,23,23,30,80,130,130,80,300,500,,50,80,,50,1300,,1700,1300,500,130,50,230,130,50,23,30,23,50,500,170000,,,500
2006-01-26,30,23,,23,23,23,23,23,23,23,23,23,130,,170,230,,50,500,,300,50,130,300,300,300,2200,1400,50,23,23,230,300,23000,,,300
2006-01-30,300,50,,50,2400,500,30,23,23,23,2400,2400,5000,,3000,5000,,1300,1300,,800,800,130,80,230,500,2400,5000,5000,5000,500,800,24000,1600000,,,24000
2006-02-02,23,23,,30,800,500,23,23,23,23,3000,2400,500,,2400,800,,500,2400,,500,500,230,800,300,500,300,2400,230,800,500,230,24000,900000,,,30000
2006-02-06,500,30,,23,23,23,23,30,50,50,130,230,800,,5000,3000,,5000,23,,23,23,23,30,23,23,30,30,50,50,23,50,500,500000,,,500
2006-02-09,23,23,,23,800,500,230,23,30,30,23,30,50,,500,130,,80,500,,500,500,130,130,500,500,230,300,130,80,23,3000,800,1600000,,,1300
2006-02-13,3000,30,,80,23,30,70,130,110,130,500,800,500,,16000,5000,,16000,700,,2400,16000,70,30,130,130,16000,16000,800,500,1700,230,11000,70000,,,5000
2006-02-16,23,23,,30,50,23,30,23,23,30,30,23,500,,230,230,,230,2400,,16000,9000,30,30,50,23,230,130,80,50,130,800,13000,1600000,,,30000
